"","**Characteristic**","**TEST_HOSP**"
"1574","ECVM210901725","1 (<0.1%)"
"1575","ECVM210901726","1 (<0.1%)"
"1576","ECVM210901728","1 (<0.1%)"
"1577","ECVM210901729","1 (<0.1%)"
"1578","ECVM210901730","1 (<0.1%)"
"1579","ECVM210901731","1 (<0.1%)"
"1580","ECVM210901732","1 (<0.1%)"
"1581","ECVM210901734","1 (<0.1%)"
"1582","ECVM210901735","1 (<0.1%)"
"1583","ECVM210901736","1 (<0.1%)"
"1584","ECVM210901737","1 (<0.1%)"
"1585","ECVM210901738","1 (<0.1%)"
"1586","ECVM210901739","1 (<0.1%)"
"1587","ECVM210901740","1 (<0.1%)"
"1588","ECVM210901741","1 (<0.1%)"
"1589","ECVM210901742","1 (<0.1%)"
"1590","ECVM210901743","1 (<0.1%)"
"1591","ECVM210901744","1 (<0.1%)"
"1592","ECVM210901745","1 (<0.1%)"
"1593","ECVM210901746","1 (<0.1%)"
"1594","ECVM210901747","1 (<0.1%)"
"1595","ECVM210901748","1 (<0.1%)"
"1596","ECVM210901749","1 (<0.1%)"
"1597","ECVM210901750","1 (<0.1%)"
"1598","ECVM210901751","1 (<0.1%)"
"1599","ECVM210901752","1 (<0.1%)"
"1600","ECVM210901753","1 (<0.1%)"
"1601","ECVM210901754","1 (<0.1%)"
"1602","ECVM210901755","1 (<0.1%)"
"1603","ECVM210901756","1 (<0.1%)"
"1604","ECVM210901757","1 (<0.1%)"
"1605","ECVM210901758","1 (<0.1%)"
"1606","ECVM210901759","1 (<0.1%)"
"1607","ECVM210901760","1 (<0.1%)"
"1608","ECVM210901762","1 (<0.1%)"
"1609","ECVM210901763","1 (<0.1%)"
"1610","ECVM210901764","1 (<0.1%)"
"1611","ECVM210901765","1 (<0.1%)"
"1612","ECVM210901766","1 (<0.1%)"
"1613","ECVM210901767","1 (<0.1%)"
"1614","ECVM210901768","1 (<0.1%)"
"1615","ECVM210901769","1 (<0.1%)"
"1616","ECVM210901770","1 (<0.1%)"
"1617","ECVM210901771","1 (<0.1%)"
"1618","ECVM210901772","1 (<0.1%)"
"1619","ECVM210901773","1 (<0.1%)"
"1620","ECVM210901774","1 (<0.1%)"
"1621","ECVM210901775","1 (<0.1%)"
"1622","ECVM210901777","1 (<0.1%)"
"1623","ECVM210901778","1 (<0.1%)"
"1624","ECVM210901779","1 (<0.1%)"
"1625","ECVM210901780","1 (<0.1%)"
"1626","ECVM210901781","1 (<0.1%)"
"1627","ECVM210901782","1 (<0.1%)"
"1628","ECVM210901783","1 (<0.1%)"
"1629","ECVM210901784","1 (<0.1%)"
"1630","ECVM210901786","1 (<0.1%)"
"1631","ECVM210901787","1 (<0.1%)"
"1632","ECVM210901788","1 (<0.1%)"
"1633","ECVM210901789","1 (<0.1%)"
"1634","ECVM210901790","1 (<0.1%)"
"1635","ECVM210901791","1 (<0.1%)"
"1636","ECVM210901792","1 (<0.1%)"
"1637","ECVM210901793","1 (<0.1%)"
"1638","ECVM210901794","1 (<0.1%)"
"1639","ECVM210901795","1 (<0.1%)"
"1640","ECVM210901796","1 (<0.1%)"
"1641","ECVM210901797","1 (<0.1%)"
"1642","ECVM210901798","1 (<0.1%)"
"1643","ECVM210901799","1 (<0.1%)"
"1644","ECVM210901800","1 (<0.1%)"
"1645","ECVM210901802","1 (<0.1%)"
"1646","ECVM210901804","1 (<0.1%)"
"1647","ECVM210901805","1 (<0.1%)"
"1648","ECVM210901806","1 (<0.1%)"
"1649","ECVM210901807","1 (<0.1%)"
"1650","ECVM210901808","1 (<0.1%)"
"1651","ECVM210901809","1 (<0.1%)"
"1652","ECVM210901810","1 (<0.1%)"
"1653","ECVM210901811","1 (<0.1%)"
"1654","ECVM210901812","1 (<0.1%)"
"1655","ECVM210901813","1 (<0.1%)"
"1656","ECVM210901814","1 (<0.1%)"
"1657","ECVM210901815","1 (<0.1%)"
"1658","ECVM210901816","1 (<0.1%)"
"1659","ECVM210901817","1 (<0.1%)"
"1660","ECVM210901818","1 (<0.1%)"
"1661","ECVM210901819","1 (<0.1%)"
"1662","ECVM210901820","1 (<0.1%)"
"1663","ECVM210901821","1 (<0.1%)"
"1664","ECVM210901822","1 (<0.1%)"
"1665","ECVM210901823","1 (<0.1%)"
"1666","ECVM210901824","1 (<0.1%)"
"1667","ECVM210901825","1 (<0.1%)"
"1668","ECVM210901826","1 (<0.1%)"
"1669","ECVM210901827","1 (<0.1%)"
"1670","ECVM210901828","1 (<0.1%)"
"1671","ECVM210901829","1 (<0.1%)"
"1672","ECVM210901830","1 (<0.1%)"
"1673","ECVM210901831","1 (<0.1%)"
"1674","ECVM210901833","1 (<0.1%)"
"1675","ECVM210901834","1 (<0.1%)"
"1676","ECVM210901835","1 (<0.1%)"
"1677","ECVM210901836","1 (<0.1%)"
"1678","ECVM210901837","1 (<0.1%)"
"1679","ECVM210901838","1 (<0.1%)"
"1680","ECVM210901839","1 (<0.1%)"
"1681","ECVM210901840","1 (<0.1%)"
"1682","ECVM210901841","1 (<0.1%)"
"1683","ECVM210901843","1 (<0.1%)"
"1684","ECVM210901844","1 (<0.1%)"
"1685","ECVM210901845","1 (<0.1%)"
"1686","ECVM210901846","1 (<0.1%)"
"1687","ECVM210901847","1 (<0.1%)"
"1688","ECVM210901848","1 (<0.1%)"
"1689","ECVM210901849","1 (<0.1%)"
"1690","ECVM210901850","1 (<0.1%)"
"1691","ECVM210901851","1 (<0.1%)"
"1692","ECVM210901852","1 (<0.1%)"
"1693","ECVM210901853","1 (<0.1%)"
"1694","ECVM210901854","1 (<0.1%)"
"1695","ECVM210901855","1 (<0.1%)"
"1696","ECVM210901857","1 (<0.1%)"
"1697","ECVM210901858","1 (<0.1%)"
"1698","ECVM210901859","1 (<0.1%)"
"1699","ECVM210901861","1 (<0.1%)"
"1700","ECVM210901862","1 (<0.1%)"
"1701","ECVM210901863","1 (<0.1%)"
"1702","ECVM210901864","1 (<0.1%)"
"1703","ECVM210901865","1 (<0.1%)"
"1704","ECVM210901866","1 (<0.1%)"
"1705","ECVM210901867","1 (<0.1%)"
"1706","ECVM210901868","1 (<0.1%)"
"1707","ECVM210901871","1 (<0.1%)"
"1708","ECVM210901872","1 (<0.1%)"
"1709","ECVM210901873","1 (<0.1%)"
"1710","ECVM210901874","1 (<0.1%)"
"1711","ECVM210901875","1 (<0.1%)"
"1712","ECVM210901876","1 (<0.1%)"
"1713","ECVM210901877","1 (<0.1%)"
"1714","ECVM210901878","1 (<0.1%)"
"1715","ECVM210901879","1 (<0.1%)"
"1716","ECVM210901880","1 (<0.1%)"
"1717","ECVM210901881","1 (<0.1%)"
"1718","ECVM210901882","1 (<0.1%)"
"1719","ECVM210901883","1 (<0.1%)"
"1720","ECVM210901884","1 (<0.1%)"
"1721","ECVM210901885","1 (<0.1%)"
"1722","ECVM210901886","1 (<0.1%)"
"1723","ECVM210901887","1 (<0.1%)"
"1724","ECVM210901888","1 (<0.1%)"
"1725","ECVM210901889","1 (<0.1%)"
"1726","ECVM210901890","1 (<0.1%)"
"1727","ECVM210901891","1 (<0.1%)"
"1728","ECVM210901892","1 (<0.1%)"
"1729","ECVM210901893","1 (<0.1%)"
"1730","ECVM210901894","1 (<0.1%)"
"1731","ECVM210901895","1 (<0.1%)"
"1732","ECVM210901896","1 (<0.1%)"
"1733","ECVM210901897","1 (<0.1%)"
"1734","ECVM210901898","1 (<0.1%)"
"1735","ECVM210901899","1 (<0.1%)"
"1736","ECVM210901900","1 (<0.1%)"
"1737","ECVM210901901","1 (<0.1%)"
"1738","ECVM210901903","1 (<0.1%)"
"1739","ECVM210901904","1 (<0.1%)"
"1740","ECVM210901905","1 (<0.1%)"
"1741","ECVM210901906","1 (<0.1%)"
"1742","ECVM210901908","1 (<0.1%)"
"1743","ECVM210901909","1 (<0.1%)"
"1744","ECVM210901910","1 (<0.1%)"
"1745","ECVM210901911","1 (<0.1%)"
"1746","ECVM210901912","1 (<0.1%)"
"1747","ECVM210901913","1 (<0.1%)"
"1748","ECVM210901914","1 (<0.1%)"
"1749","ECVM210901915","1 (<0.1%)"
"1750","ECVM210901916","1 (<0.1%)"
"1751","ECVM210901917","1 (<0.1%)"
"1752","ECVM210901918","1 (<0.1%)"
"1753","ECVM210901919","1 (<0.1%)"
"1754","ECVM210901920","1 (<0.1%)"
"1755","ECVM210901921","1 (<0.1%)"
"1756","ECVM210901922","1 (<0.1%)"
"1757","ECVM210901924","1 (<0.1%)"
"1758","ECVM210901925","1 (<0.1%)"
"1759","ECVM210901926","1 (<0.1%)"
"1760","ECVM210901927","1 (<0.1%)"
"1761","ECVM210901928","1 (<0.1%)"
"1762","ECVM210901929","1 (<0.1%)"
"1763","ECVM210901930","1 (<0.1%)"
"1764","ECVM210901931","1 (<0.1%)"
"1765","ECVM210901932","1 (<0.1%)"
"1766","ECVM210901933","1 (<0.1%)"
"1767","ECVM210901934","1 (<0.1%)"
"1768","ECVM210901935","1 (<0.1%)"
"1769","ECVM210901936","1 (<0.1%)"
"1770","ECVM210901937","1 (<0.1%)"
"1771","ECVM210901938","1 (<0.1%)"
"1772","ECVM210901939","1 (<0.1%)"
"1773","ECVM210901940","1 (<0.1%)"
"1774","ECVM210901941","1 (<0.1%)"
"1775","ECVM210901942","1 (<0.1%)"
"1776","ECVM210901943","1 (<0.1%)"
"1777","ECVM210901944","1 (<0.1%)"
"1778","ECVM210901945","1 (<0.1%)"
"1779","ECVM210901946","1 (<0.1%)"
"1780","ECVM210901947","1 (<0.1%)"
"1781","ECVM210901948","1 (<0.1%)"
"1782","ECVM210901949","1 (<0.1%)"
"1783","ECVM210901950","1 (<0.1%)"
"1784","ECVM210901951","1 (<0.1%)"
"1785","ECVM210901952","1 (<0.1%)"
"1786","ECVM210901953","1 (<0.1%)"
"1787","ECVM210901954","1 (<0.1%)"
"1788","ECVM210901955","1 (<0.1%)"
"1789","ECVM210901956","1 (<0.1%)"
"1790","ECVM210901957","1 (<0.1%)"
"1791","ECVM210901958","1 (<0.1%)"
"1792","ECVM210901960","1 (<0.1%)"
"1793","ECVM210901961","1 (<0.1%)"
"1794","ECVM210901962","1 (<0.1%)"
"1795","ECVM210901963","1 (<0.1%)"
"1796","ECVM210901964","1 (<0.1%)"
"1797","ECVM210901965","1 (<0.1%)"
"1798","ECVM210901966","1 (<0.1%)"
"1799","ECVM210901967","1 (<0.1%)"
"1800","ECVM210901968","1 (<0.1%)"
"1801","ECVM210901969","1 (<0.1%)"
"1802","ECVM210901970","1 (<0.1%)"
"1803","ECVM210901971","1 (<0.1%)"
"1804","ECVM210901972","1 (<0.1%)"
"1805","ECVM210901973","1 (<0.1%)"
"1806","ECVM210901975","1 (<0.1%)"
"1807","ECVM210901976","1 (<0.1%)"
"1808","ECVM210901977","1 (<0.1%)"
"1809","ECVM210901978","1 (<0.1%)"
"1810","ECVM210901979","1 (<0.1%)"
"1811","ECVM210901980","1 (<0.1%)"
"1812","ECVM210901982","1 (<0.1%)"
"1813","ECVM210901983","1 (<0.1%)"
"1814","ECVM210901984","1 (<0.1%)"
"1815","ECVM210901985","1 (<0.1%)"
"1816","ECVM210901986","1 (<0.1%)"
"1817","ECVM210901987","1 (<0.1%)"
"1818","ECVM210901988","1 (<0.1%)"
"1819","ECVM210901990","1 (<0.1%)"
"1820","ECVM210901991","1 (<0.1%)"
"1821","ECVM210901992","1 (<0.1%)"
"1822","ECVM210901993","1 (<0.1%)"
"1823","ECVM210901994","1 (<0.1%)"
"1824","ECVM210901995","1 (<0.1%)"
"1825","ECVM210901996","1 (<0.1%)"
"1826","ECVM210901997","1 (<0.1%)"
"1827","ECVM210901999","1 (<0.1%)"
"1828","ECVM210902000","1 (<0.1%)"
"1829","ECVM210902001","1 (<0.1%)"
"1830","ECVM210902002","1 (<0.1%)"
"1831","ECVM210902003","1 (<0.1%)"
"1832","ECVM210902004","1 (<0.1%)"
"1833","ECVM210902005","1 (<0.1%)"
"1834","ECVM210902006","1 (<0.1%)"
"1835","ECVM210902007","1 (<0.1%)"
"1836","ECVM210902008","1 (<0.1%)"
"1837","ECVM210902010","1 (<0.1%)"
"1838","ECVM210902011","1 (<0.1%)"
"1839","ECVM210902012","1 (<0.1%)"
"1840","ECVM210902013","1 (<0.1%)"
"1841","ECVM210902014","1 (<0.1%)"
"1842","ECVM210902015","1 (<0.1%)"
"1843","ECVM210902016","1 (<0.1%)"
"1844","ECVM210902017","1 (<0.1%)"
"1845","ECVM210902018","1 (<0.1%)"
"1846","ECVM210902019","1 (<0.1%)"
"1847","ECVM210902020","1 (<0.1%)"
"1848","ECVM210902021","1 (<0.1%)"
"1849","ECVM210902022","1 (<0.1%)"
"1850","ECVM210902023","1 (<0.1%)"
"1851","ECVM210902024","1 (<0.1%)"
"1852","ECVM210902025","1 (<0.1%)"
"1853","ECVM210902026","1 (<0.1%)"
"1854","ECVM210902027","1 (<0.1%)"
"1855","ECVM210902028","1 (<0.1%)"
"1856","ECVM210902029","1 (<0.1%)"
"1857","ECVM210902030","1 (<0.1%)"
"1858","ECVM210902031","1 (<0.1%)"
"1859","ECVM210902032","1 (<0.1%)"
"1860","ECVM210902034","1 (<0.1%)"
"1861","ECVM210902035","1 (<0.1%)"
"1862","ECVM210902036","1 (<0.1%)"
"1863","ECVM210902037","1 (<0.1%)"
"1864","ECVM210902038","1 (<0.1%)"
"1865","ECVM210902039","1 (<0.1%)"
"1866","ECVM210902040","1 (<0.1%)"
"1867","ECVM210902041","1 (<0.1%)"
"1868","ECVM210902042","1 (<0.1%)"
"1869","ECVM210902043","1 (<0.1%)"
"1870","ECVM210902044","1 (<0.1%)"
"1871","ECVM210902045","1 (<0.1%)"
"1872","ECVM210902046","1 (<0.1%)"
"1873","ECVM210902047","1 (<0.1%)"
"1874","ECVM210902048","1 (<0.1%)"
"1875","ECVM210902049","1 (<0.1%)"
"1876","ECVM210902050","1 (<0.1%)"
"1877","ECVM210902051","1 (<0.1%)"
"1878","ECVM210902052","1 (<0.1%)"
"1879","ECVM210902054","1 (<0.1%)"
"1880","ECVM210902055","1 (<0.1%)"
"1881","ECVM210902056","1 (<0.1%)"
"1882","ECVM210902058","1 (<0.1%)"
"1883","ECVM210902059","1 (<0.1%)"
"1884","ECVM210902061","1 (<0.1%)"
"1885","ECVM210902062","1 (<0.1%)"
"1886","ECVM210902063","1 (<0.1%)"
"1887","ECVM210902064","1 (<0.1%)"
"1888","ECVM210902065","1 (<0.1%)"
"1889","ECVM210902067","1 (<0.1%)"
"1890","ECVM210902068","1 (<0.1%)"
"1891","ECVM210902069","1 (<0.1%)"
"1892","ECVM210902070","1 (<0.1%)"
"1893","ECVM210902071","1 (<0.1%)"
"1894","ECVM210902072","1 (<0.1%)"
"1895","ECVM210902075","1 (<0.1%)"
"1896","ECVM210902076","1 (<0.1%)"
"1897","ECVM210902077","1 (<0.1%)"
"1898","ECVM210902078","1 (<0.1%)"
"1899","ECVM210902079","1 (<0.1%)"
"1900","ECVM210902080","1 (<0.1%)"
"1901","ECVM210902082","1 (<0.1%)"
"1902","ECVM210902083","1 (<0.1%)"
"1903","ECVM210902084","1 (<0.1%)"
"1904","ECVM210902085","1 (<0.1%)"
"1905","ECVM210902086","1 (<0.1%)"
"1906","ECVM210902087","1 (<0.1%)"
"1907","ECVM210902088","1 (<0.1%)"
"1908","ECVM210902089","1 (<0.1%)"
"1909","ECVM210902090","1 (<0.1%)"
"1910","ECVM210902091","1 (<0.1%)"
"1911","ECVM210902092","1 (<0.1%)"
"1912","ECVM210902093","1 (<0.1%)"
"1913","ECVM210902095","1 (<0.1%)"
"1914","ECVM210902096","1 (<0.1%)"
"1915","ECVM210902097","1 (<0.1%)"
"1916","ECVM210902098","1 (<0.1%)"
"1917","ECVM210902099","1 (<0.1%)"
"1918","ECVM210902100","1 (<0.1%)"
"1919","ECVM210902101","1 (<0.1%)"
"1920","ECVM210902102","1 (<0.1%)"
"1921","ECVM210902103","1 (<0.1%)"
"1922","ECVM210902104","1 (<0.1%)"
"1923","ECVM210902105","1 (<0.1%)"
"1924","ECVM210902106","1 (<0.1%)"
"1925","ECVM210902107","1 (<0.1%)"
"1926","ECVM210902108","1 (<0.1%)"
"1927","ECVM210902109","1 (<0.1%)"
"1928","ECVM210902110","1 (<0.1%)"
"1929","ECVM210902111","1 (<0.1%)"
"1930","ECVM210902112","1 (<0.1%)"
"1931","ECVM210902113","1 (<0.1%)"
"1932","ECVM210902114","1 (<0.1%)"
"1933","ECVM210902115","1 (<0.1%)"
"1934","ECVM210902116","1 (<0.1%)"
"1935","ECVM210902117","1 (<0.1%)"
"1936","ECVM210902119","1 (<0.1%)"
"1937","ECVM210902120","1 (<0.1%)"
"1938","ECVM210902121","1 (<0.1%)"
"1939","ECVM210902122","1 (<0.1%)"
"1940","ECVM210902123","1 (<0.1%)"
"1941","ECVM210902124","1 (<0.1%)"
"1942","ECVM210902125","1 (<0.1%)"
"1943","ECVM210902126","1 (<0.1%)"
"1944","ECVM210902127","1 (<0.1%)"
"1945","ECVM210902128","1 (<0.1%)"
"1946","ECVM210902129","1 (<0.1%)"
"1947","ECVM210902130","1 (<0.1%)"
"1948","ECVM210902131","1 (<0.1%)"
"1949","ECVM210902132","1 (<0.1%)"
"1950","ECVM210902133","1 (<0.1%)"
"1951","ECVM210902134","1 (<0.1%)"
"1952","ECVM210902135","1 (<0.1%)"
"1953","ECVM210902136","1 (<0.1%)"
"1954","ECVM210902137","1 (<0.1%)"
"1955","ECVM210902138","1 (<0.1%)"
"1956","ECVM210902139","1 (<0.1%)"
"1957","ECVM210902140","1 (<0.1%)"
"1958","ECVM210902141","1 (<0.1%)"
"1959","ECVM210902142","1 (<0.1%)"
"1960","ECVM210902144","1 (<0.1%)"
"1961","ECVM210902145","1 (<0.1%)"
"1962","ECVM210902146","1 (<0.1%)"
"1963","ECVM210902147","1 (<0.1%)"
"1964","ECVM210902148","1 (<0.1%)"
"1965","ECVM210902149","1 (<0.1%)"
"1966","ECVM210902150","1 (<0.1%)"
"1967","ECVM210902151","1 (<0.1%)"
"1968","ECVM210902152","1 (<0.1%)"
"1969","ECVM210902154","1 (<0.1%)"
"1970","ECVM210902155","1 (<0.1%)"
"1971","ECVM210902156","1 (<0.1%)"
"1972","ECVM210902157","1 (<0.1%)"
"1973","ECVM210902158","1 (<0.1%)"
"1974","ECVM210902159","1 (<0.1%)"
"1975","ECVM210902160","1 (<0.1%)"
"1976","ECVM210902161","1 (<0.1%)"
"1977","ECVM210902162","1 (<0.1%)"
"1978","ECVM210902163","1 (<0.1%)"
"1979","ECVM210902164","1 (<0.1%)"
"1980","ECVM210902165","1 (<0.1%)"
"1981","ECVM210902166","1 (<0.1%)"
"1982","ECVM210902168","1 (<0.1%)"
"1983","ECVM210902169","1 (<0.1%)"
"1984","ECVM210902170","1 (<0.1%)"
"1985","ECVM210902171","1 (<0.1%)"
"1986","ECVM210902172","1 (<0.1%)"
"1987","ECVM210902174","1 (<0.1%)"
"1988","ECVM210902175","1 (<0.1%)"
"1989","ECVM210902177","1 (<0.1%)"
"1990","ECVM210902178","1 (<0.1%)"
"1991","ECVM210902180","1 (<0.1%)"
"1992","ECVM210902181","1 (<0.1%)"
"1993","ECVM210902182","1 (<0.1%)"
"1994","ECVM210902183","1 (<0.1%)"
"1995","ECVM210902184","1 (<0.1%)"
"1996","ECVM210902185","1 (<0.1%)"
"1997","ECVM210902186","1 (<0.1%)"
"1998","ECVM210902187","1 (<0.1%)"
"1999","ECVM210902188","1 (<0.1%)"
"2000","ECVM210902189","1 (<0.1%)"
"2001","ECVM210902190","1 (<0.1%)"
"2002","ECVM210902191","1 (<0.1%)"
"2003","ECVM210902192","1 (<0.1%)"
"2004","ECVM210902193","1 (<0.1%)"
"2005","ECVM210902194","1 (<0.1%)"
"2006","ECVM210902195","1 (<0.1%)"
"2007","ECVM210902196","1 (<0.1%)"
"2008","ECVM210902197","1 (<0.1%)"
"2009","ECVM210902198","1 (<0.1%)"
"2010","ECVM210902199","1 (<0.1%)"
"2011","ECVM210902200","1 (<0.1%)"
"2012","ECVM210902201","1 (<0.1%)"
"2013","ECVM210902202","1 (<0.1%)"
"2014","ECVM210902203","1 (<0.1%)"
"2015","ECVM210902204","1 (<0.1%)"
"2016","ECVM210902205","1 (<0.1%)"
"2017","ECVM210902206","1 (<0.1%)"
"2018","ECVM210902207","1 (<0.1%)"
"2019","ECVM210902209","1 (<0.1%)"
"2020","ECVM210902210","1 (<0.1%)"
"2021","ECVM210902211","1 (<0.1%)"
"2022","ECVM210902213","1 (<0.1%)"
"2023","ECVM210902214","1 (<0.1%)"
"2024","ECVM210902215","1 (<0.1%)"
"2025","ECVM210902216","1 (<0.1%)"
"2026","ECVM210902218","1 (<0.1%)"
"2027","ECVM210902219","1 (<0.1%)"
"2028","ECVM210902220","1 (<0.1%)"
"2029","ECVM210902221","1 (<0.1%)"
"2030","ECVM210902222","1 (<0.1%)"
"2031","ECVM210902223","1 (<0.1%)"
"2032","ECVM210902224","1 (<0.1%)"
"2033","ECVM210902225","1 (<0.1%)"
"2034","ECVM210902226","1 (<0.1%)"
"2035","ECVM210902227","1 (<0.1%)"
"2036","ECVM210902228","1 (<0.1%)"
"2037","ECVM210902229","1 (<0.1%)"
"2038","ECVM210902230","1 (<0.1%)"
"2039","ECVM210902231","1 (<0.1%)"
"2040","ECVM210902232","1 (<0.1%)"
"2041","ECVM210902233","1 (<0.1%)"
"2042","ECVM210902234","1 (<0.1%)"
"2043","ECVM210902235","1 (<0.1%)"
"2044","ECVM210902236","1 (<0.1%)"
"2045","ECVM210902237","1 (<0.1%)"
"2046","ECVM210902238","1 (<0.1%)"
"2047","ECVM210902239","1 (<0.1%)"
"2048","ECVM210902241","1 (<0.1%)"
"2049","ECVM210902242","1 (<0.1%)"
"2050","ECVM210902243","1 (<0.1%)"
"2051","ECVM210902244","1 (<0.1%)"
"2052","ECVM210902245","1 (<0.1%)"
"2053","ECVM210902246","1 (<0.1%)"
"2054","ECVM210902247","1 (<0.1%)"
"2055","ECVM210902248","1 (<0.1%)"
"2056","ECVM210902249","1 (<0.1%)"
"2057","ECVM210902250","1 (<0.1%)"
"2058","ECVM210902251","1 (<0.1%)"
"2059","ECVM210902252","1 (<0.1%)"
"2060","ECVM210902253","1 (<0.1%)"
"2061","ECVM210902254","1 (<0.1%)"
"2062","ECVM210902255","1 (<0.1%)"
"2063","ECVM210902256","1 (<0.1%)"
"2064","ECVM210902257","1 (<0.1%)"
"2065","ECVM210902259","1 (<0.1%)"
"2066","ECVM210902261","1 (<0.1%)"
"2067","ECVM210902262","1 (<0.1%)"
"2068","ECVM210902263","1 (<0.1%)"
"2069","ECVM210902264","1 (<0.1%)"
"2070","ECVM210902265","1 (<0.1%)"
"2071","ECVM210902266","1 (<0.1%)"
"2072","ECVM210902267","1 (<0.1%)"
"2073","ECVM210902268","1 (<0.1%)"
"2074","ECVM210902269","1 (<0.1%)"
"2075","ECVM210902270","1 (<0.1%)"
"2076","ECVM210902271","1 (<0.1%)"
"2077","ECVM210902272","1 (<0.1%)"
"2078","ECVM210902273","1 (<0.1%)"
"2079","ECVM210902274","1 (<0.1%)"
"2080","ECVM210902275","1 (<0.1%)"
"2081","ECVM210902276","1 (<0.1%)"
"2082","ECVM210902277","1 (<0.1%)"
"2083","ECVM210902278","1 (<0.1%)"
"2084","ECVM210902279","1 (<0.1%)"
"2085","ECVM210902280","1 (<0.1%)"
"2086","ECVM210902281","1 (<0.1%)"
"2087","ECVM210902282","1 (<0.1%)"
"2088","ECVM210902283","1 (<0.1%)"
"2089","ECVM210902284","1 (<0.1%)"
"2090","ECVM210902285","1 (<0.1%)"
"2091","ECVM210902286","1 (<0.1%)"
"2092","ECVM210902287","1 (<0.1%)"
"2093","ECVM210902288","1 (<0.1%)"
"2094","ECVM210902289","1 (<0.1%)"
"2095","ECVM210902290","1 (<0.1%)"
"2096","ECVM210902291","1 (<0.1%)"
"2097","ECVM210902292","1 (<0.1%)"
"2098","ECVM210902293","1 (<0.1%)"
"2099","ECVM210902294","1 (<0.1%)"
"2100","ECVM210902296","1 (<0.1%)"
"2101","ECVM210902297","1 (<0.1%)"
"2102","ECVM210902298","1 (<0.1%)"
"2103","ECVM210902299","1 (<0.1%)"
"2104","ECVM210902300","1 (<0.1%)"
"2105","ECVM210902301","1 (<0.1%)"
"2106","ECVM210902302","1 (<0.1%)"
"2107","ECVM210902303","1 (<0.1%)"
"2108","ECVM210902305","1 (<0.1%)"
"2109","ECVM210902306","1 (<0.1%)"
"2110","ECVM210902307","1 (<0.1%)"
"2111","ECVM210902308","1 (<0.1%)"
"2112","ECVM210902309","1 (<0.1%)"
"2113","ECVM210902310","1 (<0.1%)"
"2114","ECVM210902311","1 (<0.1%)"
"2115","ECVM210902312","1 (<0.1%)"
"2116","ECVM210902313","1 (<0.1%)"
"2117","ECVM210902314","1 (<0.1%)"
"2118","ECVM210902315","1 (<0.1%)"
"2119","ECVM210902316","1 (<0.1%)"
"2120","ECVM210902317","1 (<0.1%)"
"2121","ECVM210902318","1 (<0.1%)"
"2122","ECVM210902320","1 (<0.1%)"
"2123","ECVM210902321","1 (<0.1%)"
"2124","ECVM210902322","1 (<0.1%)"
"2125","ECVM210902323","1 (<0.1%)"
"2126","ECVM210902324","1 (<0.1%)"
"2127","ECVM210902325","1 (<0.1%)"
"2128","ECVM210902326","1 (<0.1%)"
"2129","ECVM210902327","1 (<0.1%)"
"2130","ECVM210902328","1 (<0.1%)"
"2131","ECVM210902329","1 (<0.1%)"
"2132","ECVM210902330","1 (<0.1%)"
"2133","ECVM210902331","1 (<0.1%)"
"2134","ECVM210902332","1 (<0.1%)"
"2135","ECVM210902333","1 (<0.1%)"
"2136","ECVM210902335","1 (<0.1%)"
"2137","ECVM210902336","1 (<0.1%)"
"2138","ECVM210902337","1 (<0.1%)"
"2139","ECVM210902338","1 (<0.1%)"
"2140","ECVM210902339","1 (<0.1%)"
"2141","ECVM210902340","1 (<0.1%)"
"2142","ECVM210902341","1 (<0.1%)"
"2143","ECVM210902342","1 (<0.1%)"
"2144","ECVM210902343","1 (<0.1%)"
"2145","ECVM210902344","1 (<0.1%)"
"2146","ECVM210902345","1 (<0.1%)"
"2147","ECVM210902346","1 (<0.1%)"
"2148","ECVM210902347","1 (<0.1%)"
"2149","ECVM210902348","1 (<0.1%)"
"2150","ECVM210902349","1 (<0.1%)"
"2151","ECVM210902350","1 (<0.1%)"
"2152","ECVM210902351","1 (<0.1%)"
"2153","ECVM210902352","1 (<0.1%)"
"2154","ECVM210902353","1 (<0.1%)"
"2155","ECVM210902354","1 (<0.1%)"
"2156","ECVM210902355","1 (<0.1%)"
"2157","ECVM210902356","1 (<0.1%)"
"2158","ECVM210902357","1 (<0.1%)"
"2159","ECVM210902358","1 (<0.1%)"
"2160","ECVM210902359","1 (<0.1%)"
"2161","ECVM210902360","1 (<0.1%)"
"2162","ECVM210902361","1 (<0.1%)"
"2163","ECVM210902362","1 (<0.1%)"
"2164","ECVM210902363","1 (<0.1%)"
"2165","ECVM210902364","1 (<0.1%)"
"2166","ECVM210902365","1 (<0.1%)"
"2167","ECVM210902366","1 (<0.1%)"
"2168","ECVM210902367","1 (<0.1%)"
"2169","ECVM210902368","1 (<0.1%)"
"2170","ECVM210902369","1 (<0.1%)"
"2171","ECVM210902370","1 (<0.1%)"
"2172","ECVM210902371","1 (<0.1%)"
"2173","ECVM210902372","1 (<0.1%)"
"2174","ECVM210902373","1 (<0.1%)"
"2175","ECVM210902374","1 (<0.1%)"
"2176","ECVM210902375","1 (<0.1%)"
"2177","ECVM210902376","1 (<0.1%)"
"2178","ECVM210902377","1 (<0.1%)"
"2179","ECVM210902378","1 (<0.1%)"
"2180","ECVM210902379","1 (<0.1%)"
